,City,Country region,Name,Service opened,Last expanded,Stations,Lines,System length,Annual ridership (millions)
197,Newcastle,United Kingdom,Tyne and Wear Metro,1980,2008,60,2,77.5,29.3
198,London,United Kingdom,London Underground,1863,2021,272,11,402,"1,026"
199,London,United Kingdom,Docklands Light Railway,1987,2011,45,7,34,92.3
200,Atlanta,United States,MARTA,1979,2000,38,4,76.6,28.2
201,Baltimore,United States,Baltimore Metro SubwayLink,1983,1995,14,2,24.9,2
202,Boston,United States,MBTA subway,1901,2014,51,3,63.9,81
203,Chicago,United States,"Chicago ""L""",1892,2017,145,8,165.4,103.5
204,Cleveland,United States,Red Line (RTA Rapid Transit),1955,1968,18,1,31,2.8
205,Honolulu,United States,Skyline,2023,–,9,1,17.4,0
206,Los Angeles,United States,Metro Rail,1993,2000,16,2,28,25.8
207,Miami,United States,Metrorail,1984,2012,23,2,39.3,12
208,New York City,United States,New York City Subway,1904,2017,424,28,399,"1,793.1"
209,New York City,United States,Staten Island Railway,1925,2017,21,1,22.5,3.8
210,New York City,United States,PATH,1908,1937,13,4,22.2,45.5
211,Philadelphia,United States,SEPTA,1907,1973,72,2,59.1,41.2
212,Philadelphia,United States,PATCO Speedline,1936,1980,13,1,22.9,4.9
213,San Francisco(Bay Area),United States,BART,1972,2020,47,6,192,39.6
214,San Juan,United States,Tren Urbano,2004,2005,16,1,17.2,2.5
215,"Washington, D.C.",United States,Washington Metro,1976,2023,98,6,208,93
216,Tashkent,Uzbekistan,Tashkent Metro,1977,2023,48,4,66.5,136.7
217,Caracas,Venezuela,Caracas Metro,1983,2015,49,5,67.2,358
218,Valencia,Venezuela,Valencia Metro,2006,–,13,1,7.7,22.6
219,Hanoi,Vietnam,Hanoi Metro,2021,–,12,1,13.1,10.7
