City,"Country region",Name,"Service opened","Last expanded",Stations,Lines,System length,"Annual ridership (millions)"
New Taipei City,Taiwan,New Taipei Mass Rapid Transit,2020,2020,14,1,15.4 km (9.6 mi),0 (2023)
Taipei,Taiwan,Taipei Mass Rapid Transit,1996[349],2020[350],119[Nb 78],5,152.9 km (95.0 mi)[351],695.7 (2020)[R 85]
Taichung,Taiwan,Taichung Mass Rail Transit[353],2021[354],2021,18[354],1,16.7 km (10.4 mi)[354],0 (2023)
Taoyuan,Taiwan,Taoyuan Mass Rapid Transit,2017,2023,22[355],1,53.1 km (33.0 mi),28 (2019)[R 86]
Bangkok,Thailand,BTS Skytrain,1999[356],2021[357],64[358],3,70.05 km (43.53 mi)[358],266.5 (2023)[R 87]
Bangkok,Thailand,Metropolitan Rapid Transit,2004[359],2023[360],107[361],4,135.9 km (84.4 mi)[361],167.3 (2023)[R 87]
Adana,Turkey,Adana Metro,2009,2010,13[362],1,13.5 km (8.4 mi)[362],14 (2011)[R 88]
Ankara,Turkey,Ankara Metro,1997,2023[363][Nb 79],57[364],3,67.4 km (41.9 mi)[363][364],67.4 (2020)[R 89]
Bursa,Turkey,Bursaray,2002,2014[Nb 80],39[365],2,39 km (24 mi)[365],91.3 (2010)[R 90]
Istanbul,Turkey,Istanbul Metro,1989[366],2023,128[Nb 81],11,199.26 km (123.81 mi)[367],542 (2022)[R 91]
İzmir,Turkey,İzmir Metro,2000[369],2014[369],17[369],1,19.8 km (12.3 mi)[369],100 (2019)[R 92]
Dnipro,Ukraine,Dnipro Metro,1995,1995,6[370],1,7.8 km (4.8 mi)[370],7.5 (2018)[R 93]
Kharkiv,Ukraine,Kharkiv Metro,1975,2016,30[370],3,38.7 km (24.0 mi)[370],231.1 (2018)[R 94]
Kyiv,Ukraine,Kyiv Metro,1960,2013,52[370],3,67.7 km (42.1 mi)[370],496.1 (2018)[R 95]
Dubai,United Arab Emirates,Dubai Metro,2009[371],2021[372],53,2,89.3 km (55.5 mi)[373],113.6 (2020)[R 96]
Glasgow,United Kingdom,Glasgow Subway,1896[374],2022,15[374],1,10.4 km (6.5 mi)[374],11.9 (2022*)[R 97]
Newcastle,United Kingdom,Tyne and Wear Metro[Nb 66],1980[Nb 82],2008,60,2,77.5 km (48.2 mi),29.3 (2022*)[R 97]
London,United Kingdom,London Underground[375],1863[1][Nb 83],2021[1],272[376],11,402 km (250 mi)[376],"1,026 (2022*)[R 98][R Nb 22]"
London,United Kingdom,Docklands Light Railway,1987[377],2011[377],45[377],7,34 km (21 mi),92.3 (2022*)[R 97]
Atlanta,United States,MARTA,1979[378],2000[378],38[379],4,76.6 km (47.6 mi)[379],28.2 (2022)[R 17][R Nb 2]
Baltimore,United States,Baltimore Metro SubwayLink,1983[380],1995[381],14[381],2,24.9 km (15.5 mi)[381],2 (2022)[R 17][R Nb 2]
Boston,United States,MBTA subway[Nb 84],1901[380][Nb 85],2014[382],51[383],3,63.9 km (39.7 mi)[383],81 (2022)[R 17][R Nb 2]
Chicago,United States,"Chicago ""L""[Nb 66]",1892[384][Nb 86],2017[385],145[386],8,165.4 km (102.8 mi)[386][Nb 87],103.5 (2022)[R 17][R Nb 2]
Cleveland,United States,Red Line (RTA Rapid Transit),1955[387],1968[387],18[388],1,31 km (19 mi)[388],2.8 (2022)[R 17][R Nb 2]
Honolulu,United States,Skyline,2023,2023,9,1,17.4 km (10.8 mi),0 (2023)
Los Angeles,United States,Metro Rail[Nb 88],1993[389],2000[389][Nb 89],16[389][Nb 88],2,28 km (17 mi)[389],25.8 (2022)[R 17][R Nb 2][R Nb 23]
Miami,United States,Metrorail,1984[390],2012,23[391],2,39.3 km (24.4 mi)[391],12 (2022)[R 17][R Nb 2]
New York City,United States,New York City Subway,1904[392][Nb 90],2017[393],424[Nb 91],28,399 km (248 mi)[394],"1,793.1 (2022)[R 17][R Nb 2]"
New York City,United States,Staten Island Railway,1925[380][Nb 92],2017[395],21[392][396],1,22.5 km (14.0 mi)[394],3.8 (2022)[R 17][R Nb 2]
New York City,United States,PATH,1908[397],1937[Nb 93],13[398],4,22.2 km (13.8 mi)[399],45.5 (2022)[R 17][R Nb 2]
Philadelphia,United States,SEPTA[400][Nb 94],1907[380],1973,72[400],2,59.1 km (36.7 mi)[401][402],41.2 (2022)[R 17][R Nb 2]
Philadelphia,United States,PATCO Speedline,1936[380][Nb 95],1980[403],13[403],1,22.9 km (14.2 mi)[403],4.9 (2022)[R 17][R Nb 2]
San Francisco(Bay Area),United States,BART[Nb 96],1972[404],2020[405],47[404][Nb 97],6,192 km (119 mi)[404][Nb 98],39.6 (2022)[R 17][R Nb 2]
San Juan,United States,Tren Urbano,2004[380],2005,16,1,17.2 km (10.7 mi),2.5 (2022)[R 17][R Nb 2]
"Washington, D.C.",United States,Washington Metro,1976[406],2023[407],98[406],6,208 km (129 mi),93 (2022)[R 17][R Nb 2]
Tashkent,Uzbekistan,Tashkent Metro,1977,2023[Nb 99][408],48[409],4,66.5 km (41.3 mi)[409],136.7 (2022)[R 3]
Caracas,Venezuela,Caracas Metro[Nb 100],1983[410],2015[411],49[Nb 101],5,67.2 km (41.8 mi)[Nb 101],358 (2017)[R 99]
Valencia,Venezuela,Valencia Metro,2006,2006,13,1,7.7 km (4.8 mi),22.6
Hanoi,Vietnam,Hanoi Metro,2021[413],2021,12,1,13.1 km (8.1 mi),10.7 (2023)[R 100][R 101]
